City,Zone,Speciality,Position,Price_3M,Price_6M,Price_12M,Total Slots,Available Slots
Agartala,Agartala-Cityinventory,General Physician,1,3135,2090,2090,1,1
Agartala,Agartala-Cityinventory,General Physician,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Dermatology,1,6540,2180,2180,1,1
Agra,Agra-Cityinventory,General Dermatology,6,3135,2090,2090,1,0
Agra,Agra-Cityinventory,Neurologist,1,5225,2090,2090,1,1
Agra,Agra-Cityinventory,Neurologist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Sexologist,1,3270,2180,2180,1,1
Agra,Agra-Cityinventory,Sexologist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Physiotherapist,1,3135,3135,3135,1,1
Agra,Agra-Cityinventory,Physiotherapist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Hair Transplant,1,5225,2090,2090,1,1
Agra,Agra-Cityinventory,Hair Transplant,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Dietitian,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Dietitian,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Gastroenterologist,1,23980,2180,2180,1,0
Agra,Agra-Cityinventory,Gastroenterologist,6,11495,2090,2090,1,1
Agra,Agra-Cityinventory,General Physician,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Physician,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Urologist,1,5225,2090,2090,1,0
Agra,Agra-Cityinventory,Urologist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,ENT,1,6270,2613,2613,4,3
Agra,Agra-Cityinventory,ENT,6,5225,2090,2090,1,1
Agra,Agra-Cityinventory,General Dentistry,1,11990,2943,2943,4,3
Agra,Agra-Cityinventory,General Dentistry,6,9810,2180,2180,1,0
Agra,Agra-Cityinventory,Oncologist,1,3000,2000,2000,1,1
Agra,Agra-Cityinventory,Oncologist,6,3000,2000,2000,1,1
Agra,Agra-Cityinventory,Cosmetic/Plastic Surgeon,1,12540,2090,2090,1,1
Agra,Agra-Cityinventory,Cosmetic/Plastic Surgeon,6,9405,2090,2090,1,1
Agra,Agra-Cityinventory,Pulmonologist,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Pulmonologist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Cardiologist,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Cardiologist,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Nephrologist,1,3000,2000,2000,1,1
Agra,Agra-Cityinventory,Nephrologist,6,3000,2000,2000,1,1
Agra,Agra-Cityinventory,General Surgeon,1,8720,2180,2180,1,0
Agra,Agra-Cityinventory,General Surgeon,6,5225,2090,2090,1,1
Agra,Agra-Cityinventory,General Psychiatry,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Psychiatry,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Gynecology,1,12540,12540,12540,1,1
Agra,Agra-Cityinventory,General Gynecology,6,9405,6270,6270,1,1
Agra,Agra-Cityinventory,General Alt Medicine,1,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Alt Medicine,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Pediatrics,1,3270,2180,2180,1,0
Agra,Agra-Cityinventory,General Pediatrics,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,General Ophthalmology,1,12540,2090,2090,1,1
Agra,Agra-Cityinventory,General Ophthalmology,6,6270,2090,2090,1,1
Agra,Agra-Cityinventory,Orthopaedics,1,6270,2090,2090,1,1
Agra,Agra-Cityinventory,Orthopaedics,6,3135,2090,2090,1,1
Agra,Agra-Cityinventory,Homeopathy,1,3135,2299,2299,1,1
Agra,Agra-Cityinventory,Homeopathy,6,3135,2090,2090,1,1
Agra,Taj Ganj,General Physician,1,3000,2000,2000,1,1
Agra,Taj Ganj,General Physician,6,3000,2000,2000,1,1
Agra,Kamla Nagar,General Physician,1,3135,2090,2090,1,1
Agra,Kamla Nagar,General Physician,6,3135,2090,2090,1,1
Agra,Kamla Nagar,General Dentistry,1,5000,2400,2400,1,1
Agra,Kamla Nagar,General Dentistry,6,5000,2000,2000,1,1
Agra,Kamla Nagar,General Gynecology,1,8000,2000,2000,1,1
Agra,Kamla Nagar,General Gynecology,6,6000,2000,2000,1,1
Agra,Delhi Gate,General Physician,1,3000,2000,2000,1,1
Agra,Delhi Gate,General Physician,6,3000,2000,2000,1,1
Ahmedabad,Ahmedabad-Cityinventory,General Dermatology,1,3135,3135,3135,6,5
Ahmedabad,Ahmedabad-Cityinventory,General Dermatology,6,3135,2090,2090,6,6
Ahmedabad,Ahmedabad-Cityinventory,Neurologist,1,17765,17243,17243,3,2
Ahmedabad,Ahmedabad-Cityinventory,Neurologist,6,9405,8621,8621,3,3
Ahmedabad,Ahmedabad-Cityinventory,Sexologist,1,6540,2180,2180,1,0
Ahmedabad,Ahmedabad-Cityinventory,Sexologist,6,5450,2180,2180,1,0
Ahmedabad,Ahmedabad-Cityinventory,Physiotherapist,1,3270,3270,3270,2,2
Ahmedabad,Ahmedabad-Cityinventory,Physiotherapist,6,3135,2090,2090,2,2
Ahmedabad,Ahmedabad-Cityinventory,Hair Transplant,1,16720,2090,2090,1,1
Ahmedabad,Ahmedabad-Cityinventory,Hair Transplant,6,8360,2090,2090,1,1
Ahmedabad,Ahmedabad-Cityinventory,Dietitian,1,3135,2090,2090,1,1
Ahmedabad,Ahmedabad-Cityinventory,Dietitian,6,3135,2090,2090,1,1
Ahmedabad,Ahmedabad-Cityinventory,Endocrinologist,1,6540,2180,2180,2,0
Ahmedabad,Ahmedabad-Cityinventory,Endocrinologist,6,3270,2180,2180,1,1
Ahmedabad,Ahmedabad-Cityinventory,Gastroenterologist,1,23980,22890,22890,1,0
Ahmedabad,Ahmedabad-Cityinventory,Gastroenterologist,6,17765,10973,10973,1,1
Ahmedabad,Ahmedabad-Cityinventory,General Physician,1,3270,3270,3270,2,1
Ahmedabad,Ahmedabad-Cityinventory,General Physician,6,3135,2090,2090,2,2
Ahmedabad,Ahmedabad-Cityinventory,Urologist,1,14630,14108,14108,3,2
Ahmedabad,Ahmedabad-Cityinventory,Urologist,6,11495,7054,7054,3,3
Ahmedabad,Ahmedabad-Cityinventory,ENT,1,8720,8175,8175,2,1
